#,,This is a database of all constellation lines. It is based on the modern constellations in SkySafari.,,
#,,"For each constellation, a number “from” is assigned to each star touching the lines.",,
#,,Two “to” columns list the stars defining lines touching the “from” star.,,
#,,All of the constellation lines can be defined by 1 “from” column and up to 2 “to” columns.,,
#,,"There might be a theorem for this, analogous to the 4 color theorem, but I don't know about it.",,
#,,The “to” columns are most easily assigned by first going around a closed loop and then following appendages back to the loop.,,
#,id,The database primary key in https://github.com/astronexus/HYG-Database/blob/master/hygdata_v3.csv.,,
#,conx,"The constellation index, ordered in an alphabetic sorting of constellation abbreviations.",,
#,from,The number assigned to each star touching lines in a constellation.,,
#,to,The number assigned to each star to end lines in a constellation (2 columns). ,,
#,,,,
id,conx,from,to,to
22056,36,24,25,
19538,36,21,22,
14112,36,13,14,
12452,36,5,6,
17609,36,10,11,
11380,36,4,5,
16570,36,11,12,
21710,36,27,,
17551,36,19,20,
19799,36,22,23,
12810,36,15,16,
13254,36,14,15,
14843,37,1,2,
13114,37,2,3,
9655,37,3,,
37718,38,1,4,
36744,38,2,6,
31601,38,12,11,
30270,38,15,13,
32161,38,13,6,
29582,38,16,15,
32276,38,10,9,
35453,38,8,4,
37633,38,3,4,
35253,38,9,8,
32932,38,7,6,
35946,38,5,6,
34000,38,11,8,
36856,38,4,5,
30810,38,14,13,
34601,38,6,,
108922,39,3,4,
111768,39,7,3,
107742,39,1,2,
112263,39,9,7,
114059,39,6,7,
110650,39,4,5,
113278,39,8,7,
113770,39,5,6,
108765,39,2,3,
80571,40,14,6,
84086,40,20,21,
81444,40,7,1,
84121,40,21,22,
84122,40,2,3,6
86705,40,5,6,
81583,40,1,2,
87661,40,4,5,
79928,40,13,14,
86148,40,11,12,
88517,40,19,3,
89860,40,17,18,
87537,40,12,2,
79750,40,8,9,11
82952,40,6,7,
91756,40,16,17,
80880,40,10,11,
78861,40,9,10,
91874,40,15,16,
88610,40,18,19,
85433,40,22,5,
87726,40,3,4,
19697,41,1,2,
12451,41,4,,
12193,41,3,4,
12620,41,2,3,
46259,42,9,8,
64758,42,15,14,
43689,42,6,5,
52789,42,12,11,
68675,42,16,15,
42990,42,1,5,
56174,42,13,12,
49700,42,10,9,
50924,42,11,10,
45204,42,7,6,
47297,42,8,7,
42195,42,2,1,
57763,42,14,13,
42680,42,4,3,
43113,42,5,4,
42283,42,3,2,
2016,43,1,2,
9217,43,5,,
17637,43,2,3,
10975,43,4,5,
12360,43,3,4,
101445,44,3,,
102895,44,4,2,
104979,44,2,3,
108086,44,1,2,
110822,45,3,4,
109591,45,1,2,
110675,45,2,3,
110192,45,4,2,
49528,46,12,8,
50440,46,4,5,8
57459,46,15,6,
54712,46,6,7,
47772,46,9,10,
54718,46,7,8,
50193,46,3,4,
49441,46,8,9,
47373,46,11,8,
48318,46,2,3,9
55476,46,14,7,
55269,46,13,7,
46617,46,10,1,
53798,46,5,6,
46014,46,1,2,
25920,47,3,4,9
25542,47,9,1,
23630,47,1,2,
24249,47,2,3,
27220,47,4,5,
27006,47,8,9,
28032,47,5,6,
